tag,hatch_date,sex,breed,hatch_date,hatchery,Week 0,Week 1,Week 2,WEEK 3,Week 4,Week 5,Week 6,Week 7,Week 8,week 9,Week 10,Week 11,Week12,Week 13,Week 14,Week 15,Week 16
1546,08/11/2022,M,NHIL20,08/11/2022,B1 - NHIL20,44,62,149,278.5,369.2,503.7,628.3,725.6,797.7,955.9,1070.3,1236.1,1554.4,1680.9,1580,1965.4,2137.4
1542,,M,NHIL20,08/11/2022,B1 - NHIL20,37,70,148,266.7,350.4,495,624.2,693.5,746.1,853.4,1013.5,1196.2,1425.5,1646.5,1838,1912.5,2099.1
1537,,M,NHIL20,08/11/2022,B1 - NHIL20,37,76,145,254.4,340.7,457.7,541.7,631.2,624.3,736,951.9,1133.2,1314.8,1514,1646.5,1771.3,1968.6
1558,,M,NHIL20,08/11/2022,B1 - NHIL20,43,56,125,236.7,322.4,464.8,570.1,658.6,646.1,773.5,1044.5,1220.2,1388,1589.3,1752,1786.7,1941
1555,,M,NHIL20,08/11/2022,B1 - NHIL20,40,55,122,243.2,343.7,481,623.6,758.3,776.5,659.1,1094.5,1310.4,1479.8,1565.8,1658,1761.3,1908.7
1539,,M,NHIL20,08/11/2022,B1 - NHIL20,41,71,134,224,311.5,432.4,570.2,669.4,701.2,849.2,1064.5,1224.8,1393.7,1485.8,1543.9,1660.2,1857.6
1561,,M,NHIL20,08/11/2022,B1 - NHIL20,49,58,125,226.4,308.9,452.8,582.4,674.1,631.3,616.2,932.9,1161.2,1134.4,1319.3,1502,1564.4,1717
1543,,F,NHIL20,08/11/2022,B1 - NHIL20,44,62,131,221.3,294.6,423,521.4,575.1,593.9,696,859.4,1013.4,1180.6,1331.8,1423,1499.4,1602.5
1556,,M,NHIL20,08/11/2022,B1 - NHIL20,40,59,131,253.3,328.3,445.6,550.3,647.9,661.1,918.1,917.5,1086,1201.2,1343.7,1268,1280.1,1346.7
1544,,M,NHIL20,08/11/2022,B1 - NHIL20,42,52,101,175.6,247,368,450,501,509.1,626,755.1,904.4,1015.3,1065.8,1128.7,1161.9,1318.2
1554,,M,NHIL20,08/11/2022,B1 - NHIL20,47,55,107,194.9,258.7,375,488.2,573.3,580,401.5,763,837.5,850,896.5,1102,1127.9,1274.5
1545,,F,NHIL20,08/11/2022,B1 - NHIL20,37,59,127,221.7,264.1,364,432.7,496.7,504.2,607.5,746.3,830.7,912.9,1014.9,1097.7,1144.6,1247.7
1559,,M,NHIL20,08/11/2022,B1 - NHIL20,44,70,120,221.8,290.4,402,514.6,637.6,545,822.4,703.2,914.7,994.5,1029,1152.3,1102.7,1184.5
1549,,F,NHIL20,08/11/2022,B1 - NHIL20,45,67,140,220.2,249.9,328,383.6,420.6,436.1,451.2,603.3,688.1,755.5,847.8,888,921.6,1008.4
1553,,F,NHIL20,08/11/2022,B1 - NHIL20,43,66,122,191.2,238.7,306.3,370.4,396.9,306.5,476,523.7,624,708.3,782.8,825.5,798.9,907.8
1538,,F,NHIL20,08/11/2022,B1 - NHIL20,42,66,112,186.9,245.5,313.4,376.7,414.1,446.9,531,632.7,702.9,736,736.4,845.7,836.2,905.4
1540,,F,NHIL20,08/11/2022,B1 - NHIL20,36,48,102,157.9,181.5,234.4,278.3,312.3,321.8,405,495.4,580.1,640.3,670.5,767.2,772.3,860.3
1548,,F,NHIL20,08/11/2022,B1 - NHIL20,46,66,117,191.5,222.9,309,347.5,408.8,400.4,475,527.2,627.5,745.3,244.7,787.5,772.7,857.1
1551,,F,NHIL20,08/11/2022,B1 - NHIL20,38,64,120,191.7,240.9,310.9,372.8,403.1,370.9,517.8,538.3,616.5,596.9,678.1,759,749.3,844.6
1541,,,NHIL20,08/11/2022,B1 - NHIL20,47,82,147,251.2,318.5,437,516.1,616.3,515.3,561.8,523.7,493.5,509.6,,,,
1550,,,NHIL20,08/11/2022,B1 - NHIL20,43,53,110,189.6,259.4,398.6,497.7,501.9,502.6,510.2,,,,,,,
1552,,,NHIL20,08/11/2022,B1 - NHIL20,43,62,124,210.6,255,339.5,411.3,473.2,422.2,431.8,595.8,700,771,763.5,846.2,852.9,
1557,,,NHIL20,08/11/2022,B1 - NHIL20,40,68,128,341.2,340,,,,,,,,,,,,
1562,,,NHIL20,08/11/2022,B1 - NHIL20,34,52,106,182.4,200.3,304.6,373.9,439.2,620,736,,,,,,,
