id,ingredient,nutrient,value
 ,Rice bran de-oil Cambodia,ME,1881
 ,Rice bran de-oil Cambodia,CP,16.36
 ,Rice bran de-oil Cambodia,Lys,0.72
 ,Rice bran de-oil Cambodia,m+c,0.65
 ,Rice bran de-oil Cambodia,Met,0.32
 ,Rice bran de-oil Cambodia,EE,1.94
 ,Rice bran de-oil Cambodia,CF,8.46
 ,Rice bran de-oil Cambodia,Ca,0.1
 ,Rice bran de-oil Cambodia,P,1.76
 ,Cassava meal Cambodia,ME,3245
 ,Cassava meal Cambodia,CP,2.88
 ,Cassava meal Cambodia,Lys,0.19
 ,Cassava meal Cambodia,m+c,0.09
 ,Cassava meal Cambodia,Met,0.04
 ,Cassava meal Cambodia,EE,0.94
 ,Cassava meal Cambodia,CF,4.18
 ,Cassava meal Cambodia,Ca,0.28
 ,Cassava meal Cambodia,P,0.12
 ,DDGS Cambodia,ME,2556
 ,DDGS Cambodia,CP,27.65
 ,DDGS Cambodia,Lys,0.8
 ,DDGS Cambodia,m+c,1.03
 ,DDGS Cambodia,Met,0.53
 ,DDGS Cambodia,EE,9.18
 ,DDGS Cambodia,CF,6.94
 ,DDGS Cambodia,Ca,0.08
 ,DDGS Cambodia,P,0.75
 ,Soybean full fat Cambodia,ME,3250
 ,Soybean full fat Cambodia,CP,34.76
 ,Soybean full fat Cambodia,Lys,2.13
 ,Soybean full fat Cambodia,m+c,1
 ,Soybean full fat Cambodia,Met,0.47
 ,Soybean full fat Cambodia,EE,19.42
 ,Soybean full fat Cambodia,CF,5.27
 ,Soybean full fat Cambodia,Ca,0.31
 ,Soybean full fat Cambodia,P,0.51
 ,Soybean meal Cambodia,ME,2341
 ,Soybean meal Cambodia,CP,47.14
 ,Soybean meal Cambodia,Lys,2.88
 ,Soybean meal Cambodia,m+c,1.29
 ,Soybean meal Cambodia,Met,0.63
 ,Soybean meal Cambodia,EE,2.13
 ,Soybean meal Cambodia,CF,3.57
 ,Soybean meal Cambodia,Ca,0.0
 ,Soybean meal Cambodia,P,0.61
 ,Meat and bone meal Cambodia,ME,2327
 ,Meat and bone meal Cambodia,CP,52.84
 ,Meat and bone meal Cambodia,Lys,2.29
 ,Meat and bone meal Cambodia,m+c,1.27
 ,Meat and bone meal Cambodia,Met,0.62
 ,Meat and bone meal Cambodia,EE,10.06
 ,Meat and bone meal Cambodia,CF,0
 ,Meat and bone meal Cambodia,Ca,10.94
 ,Meat and bone meal Cambodia,P,4.76
 ,Rapeseed meal Cambodia,ME,1865
 ,Rapeseed meal Cambodia,CP,36.82
 ,Rapeseed meal Cambodia,Lys,1.84
 ,Rapeseed meal Cambodia,m+c,1.54
 ,Rapeseed meal Cambodia,Met,0.66
 ,Rapeseed meal Cambodia,EE,4.12
 ,Rapeseed meal Cambodia,CF,9.99
 ,Rapeseed meal Cambodia,Ca,0.069
 ,Rapeseed meal Cambodia,P,0.89
 ,Fish meal Cambodia,ME,475
 ,Fish meal Cambodia,CP,57.7
 ,Fish meal Cambodia,EE,6.55
 ,Fish meal Cambodia,CF,21.6
 ,Cassava root Cambodia,ME,3706
 ,Cassava root Cambodia,CP,1.69
 ,Cassava root Cambodia,EE,12.0
 ,Cassava root Cambodia,CF,3.02
 ,Rice bran Cambodia,ME,2675
 ,Rice bran Cambodia,CP,10.1
 ,Rice bran Cambodia,EE,14.0
 ,Rice bran Cambodia,CF,21.6
 ,Soybean meal 1 Cambodia,ME,4292
 ,Soybean meal 1 Cambodia,CP,50.3
 ,Soybean meal 1 Cambodia,EE,0.72
 ,Soybean meal 1 Cambodia,CF,4.73
 ,Water Spinach  Cambodia,ME,4516
 ,Water Spinach  Cambodia,CP,27.7
 ,Water Spinach  Cambodia,CF,12.4
 ,Maize Cambodia,ME,4022
 ,Maize Cambodia,CP,9.86
 ,Maize Cambodia,EE,4.04
 ,Maize Cambodia,CF,3.13
 ,Meat and bone meal 1 Cambodia,ME,345
 ,Meat and bone meal 1 Cambodia,CP,51.5
 ,Meat and bone meal 1 Cambodia,EE,11.9
 ,Meat and bone meal 1 Cambodia,CF,16.1
 ,Blood meal Cambodia,ME,4208
 ,Blood meal Cambodia,CP,88.4
 ,Broken Rice Cambodia,ME,4502
 ,Broken Rice Cambodia,CP,7.83
 ,Wheat Cambodia,ME,4374
 ,Wheat Cambodia,CP,12.8
 ,Wheat Cambodia,EE,2.39
 ,Wheat Cambodia,CF,4.3
 ,Wheat bran Cambodia,ME,4780
 ,Wheat bran Cambodia,CP,17.9
 ,Wheat bran Cambodia,EE,1.87
 ,Wheat bran Cambodia,CF,13.3
 ,Chhayas Sweet Vegetable) Cambodia,ME,2819
 ,Chhayas Sweet Vegetable) Cambodia,CP,22.8
 ,Chhayas Sweet Vegetable) Cambodia,EE,10.0
 ,Chhayas Sweet Vegetable) Cambodia,CF,12.5
 ,Cassava leaves Cambodia,ME,3601
 ,Cassava leaves Cambodia,CP,27.4
 ,Cassava leaves Cambodia,EE,7.65
 ,Cassava leaves Cambodia,CF,14.3
 ,Cricket meal Cambodia,ME,3156
 ,Cricket meal Cambodia,CP,67.0
 ,Cricket meal Cambodia,EE,13.4
 ,Cricket meal Cambodia,CF,9.89
