id,ingredient,nutrient,value
 ,Maize Kenya,ME,3300
 ,Maize Kenya,CP,10.0
 ,Maize Kenya,Lys,0.24
 ,Maize Kenya,m+c,0.0
 ,Maize Kenya,Met,1.05
 ,Maize Kenya,EE,3.8
 ,Maize Kenya,CF,2.5
 ,Maize Kenya,Ca,0.03
 ,Maize Kenya,P,0.29
 ,Maize bran Kenya,ME,1700
 ,Maize bran Kenya,CP,12
 ,Maize bran Kenya,Lys,0.4
 ,Maize bran Kenya,m+c,0.0
 ,Maize bran Kenya,Met,0.3
 ,Maize bran Kenya,EE,6.0
 ,Maize bran Kenya,CF,12.0
 ,Maize bran Kenya,Ca,0.1
 ,Maize bran Kenya,P,0.2
 ,Maize germ Kenya,ME,1700
 ,Maize germ Kenya,CP,10.6
 ,Maize germ Kenya,Lys,0.4
 ,Maize germ Kenya,m+c,0.0
 ,Maize germ Kenya,Met,0.3
 ,Maize germ Kenya,EE,12.3
 ,Maize germ Kenya,CF,15.2
 ,Maize germ Kenya,Ca,0.1
 ,Maize germ Kenya,P,0.2
 ,Gluten feed Kenya,ME,1700
 ,Gluten feed Kenya,CP,22.0
 ,Gluten feed Kenya,Lys,0.7
 ,Gluten feed Kenya,m+c,0.0
 ,Gluten feed Kenya,Met,0.5
 ,Gluten feed Kenya,EE,2.5
 ,Gluten feed Kenya,CF,9.0
 ,Gluten feed Kenya,Ca,0.4
 ,Gluten feed Kenya,P,0.8
 ,Gluten meal Kenya,ME,3700
 ,Gluten meal Kenya,CP,60
 ,Gluten meal Kenya,Lys,1
 ,Gluten meal Kenya,m+c,0
 ,Gluten meal Kenya,Met,1.3
 ,Gluten meal Kenya,EE,2.5
 ,Gluten meal Kenya,CF,2.5
 ,Gluten meal Kenya,Ca,0.1
 ,Gluten meal Kenya,P,0.5
 ,Wheat Kenya,ME,3250
 ,Wheat Kenya,CP,12
 ,Wheat Kenya,Lys,0.38
 ,Wheat Kenya,m+c,0
 ,Wheat Kenya,Met,0.22
 ,Wheat Kenya,EE,2.1
 ,Wheat Kenya,CF,4
 ,Wheat Kenya,Ca,0.05
 ,Wheat Kenya,P,0.3
 ,Pollard Kenya,ME,2700
 ,Pollard Kenya,CP,16
 ,Pollard Kenya,Lys,0.48
 ,Pollard Kenya,m+c,0
 ,Pollard Kenya,Met,0.16
 ,Pollard Kenya,EE,4.5
 ,Pollard Kenya,CF,7.5
 ,Pollard Kenya,Ca,0.13
 ,Pollard Kenya,P,0.9
 ,Wheat bran Kenya,ME,1600
 ,Wheat bran Kenya,CP,14
 ,Wheat bran Kenya,Lys,0.42
 ,Wheat bran Kenya,m+c,0
 ,Wheat bran Kenya,Met,0.08
 ,Wheat bran Kenya,EE,4.5
 ,Wheat bran Kenya,CF,13.2
 ,Wheat bran Kenya,Ca,0.14
 ,Wheat bran Kenya,P,1.38
 ,Rice bran Kenya,ME,1630
 ,Rice bran Kenya,CP,12
 ,Rice bran Kenya,Lys,0.77
 ,Rice bran Kenya,m+c,0
 ,Rice bran Kenya,Met,0.29
 ,Rice bran Kenya,EE,13
 ,Rice bran Kenya,CF,12
 ,Rice bran Kenya,Ca,0.12
 ,Rice bran Kenya,P,1.5
 ,Sorghum Kenya,ME,3250
 ,Sorghum Kenya,CP,12
 ,Sorghum Kenya,Lys,0.2
