id,ingredient,nutrient,value
 ,Maize Vietnam,ME,3340						
 ,Maize Vietnam,CP,8.7
 ,Maize Vietnam,Lys,0.22
 ,Maize Vietnam,m+c,0.35
 ,Maize Vietnam,Met,0.2
 ,Maize Vietnam,EE,3.6
 ,Maize Vietnam,CF,2.1
 ,Maize Vietnam,Ca,0.04
 ,Maize Vietnam,P,0.3					
 ,Rice broken Vietnam,ME,3559							
 ,Rice broken Vietnam,CP,7.77
 ,Rice broken Vietnam,Lys,0.28
 ,Rice broken Vietnam,m+c,0.38
 ,Rice broken Vietnam,Met,0.2
 ,Rice broken Vietnam,EE,0.91
 ,Rice broken Vietnam,CF,0.27
 ,Rice broken Vietnam,Ca,0.04
 ,Rice broken Vietnam,P,0.10
 ,Rice bran Vietnam,ME,3004					
 ,Rice bran Vietnam,CP,12.48
 ,Rice bran Vietnam,Lys,0.57
 ,Rice bran Vietnam,m+c,0.5
 ,Rice bran Vietnam,Met,0.24
 ,Rice bran Vietnam,EE,14.35
 ,Rice bran Vietnam,CF,6.06
 ,Rice bran Vietnam,Ca,0.1
 ,Rice bran Vietnam,P,1.39
 ,Rice bran de-oil Vietnam,ME,1881						
 ,Rice bran de-oil Vietnam,CP,16.36
 ,Rice bran de-oil Vietnam,Lys,0.72
 ,Rice bran de-oil Vietnam,m+c,0.65
 ,Rice bran de-oil Vietnam,Met,0.32
 ,Rice bran de-oil Vietnam,EE,1.94
 ,Rice bran de-oil Vietnam,CF,8.46
 ,Rice bran de-oil Vietnam,Ca,0.1
 ,Rice bran de-oil Vietnam,P,1.76
 ,Cassava meal Vietnam,ME,3245						
 ,Cassava meal Vietnam,CP,2.88
 ,Cassava meal Vietnam,Lys,0.19
 ,Cassava meal Vietnam,m+c,0.09
 ,Cassava meal Vietnam,Met,0.04
 ,Cassava meal Vietnam,EE,0.94
 ,Cassava meal Vietnam,CF,4.18
 ,Cassava meal Vietnam,Ca,0.28
 ,Cassava meal Vietnam,P,0.12
 ,Wheat Vietnam,ME,3096							
 ,Wheat Vietnam,CP,11.2
 ,Wheat Vietnam,Lys,0.32
 ,Wheat Vietnam,m+c,0.43
 ,Wheat Vietnam,Met,0.17
 ,Wheat Vietnam,EE,1.93
 ,Wheat Vietnam,CF,2.35
 ,Wheat Vietnam,Ca,0.03
 ,Wheat Vietnam,P,0.26
 ,Wheat bran Vietnam,ME,2059						
 ,Wheat bran Vietnam,CP,15.39
 ,Wheat bran Vietnam,Lys,0.63
 ,Wheat bran Vietnam,m+c,0.53
 ,Wheat bran Vietnam,Met,0.22
 ,Wheat bran Vietnam,EE,3.85
 ,Wheat bran Vietnam,CF,7.8
 ,Wheat bran Vietnam,Ca,0.1
 ,Wheat bran Vietnam,P,0.80
 ,DDGS Vietnam,ME,2556					
 ,DDGS Vietnam,CP,27.65
 ,DDGS Vietnam,Lys,0.8
 ,DDGS Vietnam,m+c,1.03
 ,DDGS Vietnam,Met,0.53
 ,DDGS Vietnam,EE,9.18
 ,DDGS Vietnam,CF,6.94
 ,DDGS Vietnam,Ca,0.08
 ,DDGS Vietnam,P,0.75
 ,Soybean full fat Vietnam,ME,3250					
 ,Soybean full fat Vietnam,CP,34.76
 ,Soybean full fat Vietnam,Lys,2.13
 ,Soybean full fat Vietnam,m+c,1.0
 ,Soybean full fat Vietnam,Met,0.47
 ,Soybean full fat Vietnam,EE,19.42
 ,Soybean full fat Vietnam,CF,5.27
 ,Soybean full fat Vietnam,Ca,0.31
 ,Soybean full fat Vietnam,P,0.51
 ,Soybean meal Vietnam,ME,2341				
 ,Soybean meal Vietnam,CP,47.14
 ,Soybean meal Vietnam,Lys,2.88
 ,Soybean meal Vietnam,m+c,1.29
 ,Soybean meal Vietnam,Met,0.63
 ,Soybean meal Vietnam,EE,2.13
 ,Soybean meal Vietnam,CF,3.57
 ,Soybean meal Vietnam,Ca,0.0
 ,Soybean meal Vietnam,P,0.61
 ,Meat and bone meal Vietnam,ME,2327			
 ,Meat and bone meal Vietnam,CP,52.84
 ,Meat and bone meal Vietnam,Lys,2.29
 ,Meat and bone meal Vietnam,m+c,1.27
 ,Meat and bone meal Vietnam,Met,0.62
 ,Meat and bone meal Vietnam,EE,10.06
 ,Meat and bone meal Vietnam,CF,0.0
 ,Meat and bone meal Vietnam,Ca,10.94
 ,Meat and bone meal Vietnam,P,4.76
 ,Rapeseed meal Vietnam,ME,1865	
 ,Rapeseed meal Vietnam,CP,36.82
 ,Rapeseed meal Vietnam,Lys,1.84
 ,Rapeseed meal Vietnam,m+c,1.54
 ,Rapeseed meal Vietnam,Met,0.66
 ,Rapeseed meal Vietnam,EE,4.12
 ,Rapeseed meal Vietnam,CF,9.99
 ,Rapeseed meal Vietnam,Ca,0.069
 ,Rapeseed meal Vietnam,P,0.89
 ,Blood meal Vietnam,ME,3160				
 ,Blood meal Vietnam,CP,93.94
 ,Blood meal Vietnam,Lys,8.16
 ,Blood meal Vietnam,m+c,1.6
 ,Blood meal Vietnam,Met,0.85
 ,Blood meal Vietnam,EE,0.74
 ,Blood meal Vietnam,CF,0.0
 ,Blood meal Vietnam,Ca,0.05
 ,Blood meal Vietnam,P,0.21
