id,name,dm
 ,Rice bran de-oil Cambodia,89.19
 ,Cassava meal Cambodia,88.09
 ,DDGS Cambodia,89.63
 ,Soybean full fat Cambodia,90.69
 ,Soybean meal Cambodia,89.1
 ,Meat and bone meal Cambodia,94.1
 ,Rapeseed meal Cambodia,90.73
 ,Concentrate feed Cambodia,88
 ,Fish meal Cambodia,87.3
 ,Cassava root Cambodia,47.0
 ,Rice bran Cambodia,91.6
 ,Soybean meal 1 Cambodia,90.8
 ,Water Spinach  Cambodia,10.1
 ,Maize Cambodia,89.0
 ,Meat and bone meal 1 Cambodia,96.3
 ,Blood meal Cambodia,92.5
 ,Broken Rice Cambodia,91.2
 ,Wheat Cambodia,89.7
 ,Wheat bran Cambodia,89.0
 ,Chhayas Sweet Vegetable) Cambodia,14.4
 ,Cassava leaves Cambodia,14.5
 ,Cricket meal Cambodia,93.5
