id,ingredient,nutrient,value
 ,maize,ME,3340
 ,maize,CP,8.7
 ,maize,Lys,0.2
 ,maize,m+c,0.35
 ,maize,Met,0.2
 ,maize,EE,3.6
 ,maize,CF,2.1
 ,maize,Ca,0.04
 ,maize,P,0.3


 ,sorghum,ME,3260
 ,sorghum,CP,10
 ,sorghum,Lys, 0.23
 ,sorghum,m+c,0.35
 ,sorghum,Met, 0.16
 ,sorghum,EE,3.1
 ,sorghum,CF,2.1
 ,sorghum,Ca,0.03
 ,sorghum,P,0.3

 ,millet,ME,2930
 ,millet,CP,11.1
 ,millet,Lys, 0.2
 ,millet,m+c,0.5
 ,millet,Met, 0.3
 ,millet,EE,3.2
 ,millet,CF,8.9
 ,millet,Ca,0.03
 ,millet,P,0.32

 ,barley,ME,2790
 ,barley,CP,10.6
 ,barley,Lys, 0.38
 ,barley,m+c,0.42
 ,barley,Met, 0.2
 ,barley,EE,2.4
 ,barley,CF,4.5
 ,barley,Ca,0.07
 ,barley,P,0.36

 ,wheat,ME,2980
 ,wheat,CP,12.1
 ,wheat,Lys, 0.35
 ,wheat,m+c,0.48
 ,wheat,Met, 0.18
 ,wheat,EE,1.8
 ,wheat,CF,2.2
 ,wheat,Ca,0.07
 ,wheat,P,0.35

 ,beans(Phaseolus) toasted,ME,2520
 ,beans(Phaseolus) toasted,CP,23
 ,beans(Phaseolus) toasted,Lys, 1.52
 ,beans(Phaseolus) toasted,m+c,0.53
 ,beans(Phaseolus) toasted,Met, 0.28
 ,beans(Phaseolus) toasted,EE,1.6
 ,beans(Phaseolus) toasted,CF,4.3
 ,beans(Phaseolus) toasted,Ca,0.16
 ,beans(Phaseolus) toasted,P,0.46

 ,beans(horse),ME,2550
 ,beans(horse),CP,25.4
 ,beans(horse),Lys, 1.6
 ,beans(horse),m+c,0.53
 ,beans(horse),Met, 0.21
 ,beans(horse),EE,1.3
 ,beans(horse),CF,7.3
 ,beans(horse),Ca,0.11
 ,beans(horse),P,0.53

 ,peas,ME,2490
