id,ingredient,nutrient,value
 ,coconutmeal (solv.extr.),ME,1340
 ,coconutmeal (solv.extr.),CP,21.3
 ,coconutmeal (solv.extr.),Lys, 0.49
 ,coconutmeal (solv.extr.),m+c,0.62
 ,coconutmeal (solv.extr.),Met, 0.3
 ,coconutmeal (solv.extr.),EE,2.4
 ,coconutmeal (solv.extr.),CF,14.1
 ,coconutmeal (solv.extr.),Ca,0.13
 ,coconutmeal (solv.extr.),P,0.58

 ,coconut-expeller/cake,ME,1850
 ,coconut-expeller/cake,CP,20
 ,coconut-expeller/cake,Lys, 0.46
 ,coconut-expeller/cake,m+c,0.58
 ,coconut-expeller/cake,Met, 0.29
 ,coconut-expeller/cake,EE,12.2
 ,coconut-expeller/cake,CF,13.4
 ,coconut-expeller/cake,Ca,0.11
 ,coconut-expeller/cake,P,0.44

 ,linseedmeal (solv extr.),ME,1400
 ,linseedmeal (solv extr.),CP,32.2
 ,linseedmeal (solv extr.),Lys, 1.19
 ,linseedmeal (solv extr.),m+c,1.26
 ,linseedmeal (solv extr.),Met, 0.64
 ,linseedmeal (solv extr.),EE,3.1
 ,linseedmeal (solv extr.),CF,10.2
 ,linseedmeal (solv extr.),Ca,0.37
 ,linseedmeal (solv extr.),P,0.86

 ,linseed-expeller/cake,ME,1630
 ,linseed-expeller/cake,CP,31.5
 ,linseed-expeller/cake,Lys, 1.17
 ,linseed-expeller/cake,m+c,1.23
 ,linseed-expeller/cake,Met, 0.63
 ,linseed-expeller/cake,EE,6.3
 ,linseed-expeller/cake,CF,10.4
 ,linseed-expeller/cake,Ca,0.33
 ,linseed-expeller/cake,P,0.82

 ,palmkernelmeal (solv. extr.),ME,0
 ,palmkernelmeal (solv. extr.),CP,15.3
 ,palmkernelmeal (solv. extr.),Lys, 0.52
 ,palmkernelmeal (solv. extr.),m+c,0.61
 ,palmkernelmeal (solv. extr.),Met, 0.34
 ,palmkernelmeal (solv. extr.),EE,1.6
 ,palmkernelmeal (solv. extr.),CF,19.5
 ,palmkernelmeal (solv. extr.),Ca,0.24
 ,palmkernelmeal (solv. extr.),P,0.56

 ,palmkernel-expeller/cake,ME,0
 ,palmkernel-expeller/cake,CP,13
 ,palmkernel-expeller/cake,Lys, 0.44
 ,palmkernel-expeller/cake,m+c,0.52
 ,palmkernel-expeller/cake,Met, 0.32
 ,palmkernel-expeller/cake,EE,8.7
 ,palmkernel-expeller/cake,CF,25
 ,palmkernel-expeller/cake,Ca,0.18
 ,palmkernel-expeller/cake,P,0.46


 ,rapeseedmeal (solv. extr.),ME,1730
 ,rapeseedmeal (solv. extr.),CP,34
 ,rapeseedmeal (solv. extr.),Lys, 1.7
 ,rapeseedmeal (solv. extr.),m+c,1.56
 ,rapeseedmeal (solv. extr.),Met, 0.73
 ,rapeseedmeal (solv. extr.),EE,2.3
 ,rapeseedmeal (solv. extr.),CF,11
 ,rapeseedmeal (solv. extr.),Ca,0.71
 ,rapeseedmeal (solv. extr.),P,1.09

 ,rapeseed-expeller/cake,ME,2030
 ,rapeseed-expeller/cake,CP,34.8
 ,rapeseed-expeller/cake,Lys, 1.74
 ,rapeseed-expeller/cake,m+c,1.6
 ,rapeseed-expeller/cake,Met, 0.73
 ,rapeseed-expeller/cake,EE,5.8
 ,rapeseed-expeller/cake,CF,10.8
 ,rapeseed-expeller/cake,Ca,0.68
 ,rapeseed-expeller/cake,P,1.07

 ,sunflowerseedmeal (solv. extr.),ME,1370
 ,sunflowerseedmeal (solv. extr.),CP,28.5
 ,sunflowerseedmeal (solv. extr.),Lys, 0.97
 ,sunflowerseedmeal (solv. extr.),m+c,1.11
 ,sunflowerseedmeal (solv. extr.),Met, 0.63
 ,sunflowerseedmeal (solv. extr.),EE,2
 ,sunflowerseedmeal (solv. extr.),CF,24.5
 ,sunflowerseedmeal (solv. extr.),Ca,0.33
 ,sunflowerseedmeal (solv. extr.),P,1.08

 ,sunflowerseed-expeller/cake,ME,1510
 ,sunflowerseed-expeller/cake,CP,29.1
 ,sunflowerseed-expeller/cake,Lys, 0.99
 ,sunflowerseed-expeller/cake,m+c,1.13
 ,sunflowerseed-expeller/cake,Met, 0.64
 ,sunflowerseed-expeller/cake,EE,3.8
 ,sunflowerseed-expeller/cake,CF,25
 ,sunflowerseed-expeller/cake,Ca,0.36
 ,sunflowerseed-expeller/cake,P,1.16

 ,bonemeal,ME,1500
 ,bonemeal,CP,40.7
 ,bonemeal,Lys, 1.83
 ,bonemeal,m+c,0.77
 ,bonemeal,Met, 0.45
 ,bonemeal,EE,5.4
 ,bonemeal,CF,0
 ,bonemeal,Ca,16.04
 ,bonemeal,P,7.42

 ,meatmeal (50/14/26),ME,2830
 ,meatmeal (50/14/26),CP,50
 ,meatmeal (50/14/26),Lys, 2.4
 ,meatmeal (50/14/26),m+c,1.05
 ,meatmeal (50/14/26),Met, 0.6
 ,meatmeal (50/14/26),EE,14
 ,meatmeal (50/14/26),CF,0
 ,meatmeal (50/14/26),Ca,8
 ,meatmeal (50/14/26),P,3.9


 ,meatmeal (58/13/20),ME,3090
 ,meatmeal (58/13/20),CP,58.2
 ,meatmeal (58/13/20),Lys, 3.26
 ,meatmeal (58/13/20),m+c,1.4
 ,meatmeal (58/13/20),Met, 0.87
 ,meatmeal (58/13/20),EE,13
 ,meatmeal (58/13/20),CF,0
 ,meatmeal (58/13/20),Ca,6
 ,meatmeal (58/13/20),P,2.9

 ,skimmilkpowder,ME,2490
 ,skimmilkpowder,CP,34.8
 ,skimmilkpowder,Lys, 2.85
 ,skimmilkpowder,m+c,1.22
 ,skimmilkpowder,Met, 0.9
 ,skimmilkpowder,EE,1.1
 ,skimmilkpowder,CF,0
