id,requirement,nutrient,value
 ,Layer Finisher,ME,2800
 ,Layer Finisher,CP,13
 ,Layer Finisher,Met,0.33
 ,Layer Finisher,Lys,0.76
 ,Layer Finisher,Thr T,0.52
 ,Layer Finisher,Trp W,0.18
 ,Layer Finisher,ile I,0.72
 ,Layer Finisher,Valine,0.77
 ,Layer Finisher,Arginine,0.77
 ,Layer Finisher,m+c,0.67
 ,Layer Finisher,Ca,3.75
 ,Layer Finisher,AP,0.09
 ,Layer Finisher,VA,7380
 ,Layer Finisher,VIT D,2440
 ,Layer Finisher,VITE,7.5
 ,Layer Finisher,K3,1
 ,Layer Finisher,RF,4.6
 ,Layer Finisher,NA,24.7
 ,Layer Finisher,DPA,7.1
 ,Layer Finisher,Chol,1050
 ,Layer Finisher,FA,0.23
 ,Layer Finisher,B1,0.7
 ,Layer Finisher,PN,1.03
 ,Layer Finisher,B12,7.7
 ,Layer Finisher,d-Biotin,100
